;Name;InChI;smiles;rt;RT
0;Metamitron-desamino;InChI=1S/C10H9N3O/c1-7-11-10(14)9(13-12-7)8-5-3-2-4-6-8/h2-6H,1H3,(H,11,12,14);Cc1nnc(-c2ccccc2)c(O)n1;;5.1
1;Bromoxynil;InChI=1S/C7H3Br2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H;N#Cc1cc(Br)c(O)c(Br)c1;;8.3
2;4-Isopropylaniline;InChI=1S/C9H13N/c1-7(2)8-3-5-9(10)6-4-8/h3-7H,10H2,1-2H3;CC(C)c1ccc(N)cc1;;5.2
3;Metamitron;InChI=1S/C10H10N4O/c1-7-12-13-9(10(15)14(7)11)8-5-3-2-4-6-8/h2-6H,11H2,1H3;Cc1nnc(-c2ccccc2)c(=O)n1N;;4.9
4;Metolachlor morpholinone;InChI=1S/C14H19NO2/c1-4-12-7-5-6-10(2)14(12)15-11(3)8-17-9-13(15)16/h5-7,11H,4,8-9H2,1-3H3;CCc1cccc(C)c1N1C(=O)COCC1C;;8.2
5;Orbencarb;InChI=1S/C12H16ClNOS/c1-3-14(4-2)12(15)16-9-10-7-5-6-8-11(10)13/h5-8H,3-4,9H2,1-2H3;CCN(CC)C(=O)SCc1ccccc1Cl;;13.3
6;Prosulfocarb;InChI=1S/C14H21NOS/c1-3-10-15(11-4-2)14(16)17-12-13-8-6-5-7-9-13/h5-9H,3-4,10-12H2,1-2H3;CCCN(CCC)C(=O)SCc1ccccc1;;14.4
7;Dichlobenil;InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H;N#Cc1c(Cl)cccc1Cl;;8.5
8;2,6-Dichlorobenzamide;InChI=1S/C7H5Cl2NO/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3H,(H2,10,11);N=C(O)c1c(Cl)cccc1Cl;;4.0
9;Cyproconazole;InChI=1S/C15H18ClN3O/c1-11(12-2-3-12)15(20,8-19-10-17-9-18-19)13-4-6-14(16)7-5-13/h4-7,9-12,20H,2-3,8H2,1H3;CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1;;11.5
10;Ioxynil;InChI=1S/C7H3I2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H;N#Cc1cc(I)c(O)c(I)c1;;9.3
11;Chloridazon;InChI=1S/C10H8ClN3O/c11-9-8(12)6-13-14(10(9)15)7-4-2-1-3-5-7/h1-6H,12H2;Nc1cnn(-c2ccccc2)c(=O)c1Cl;;5.2
12;Azoxystrobin;InChI=1S/C22H17N3O5/c1-27-13-17(22(26)28-2)16-8-4-6-10-19(16)30-21-11-20(24-14-25-21)29-18-9-5-3-7-15(18)12-23/h3-11,13-14H,1-2H3;COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1;;9.9
13;Metribuzin;InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3;CSc1nnc(C(C)(C)C)c(=O)n1N;;6.9
14;Metribuzin-diketo;InChI=1S/C7H12N4O2/c1-7(2,3)4-5(12)11(8)6(13)10-9-4/h8H2,1-3H3,(H,10,13);CC(C)(C)c1nnc(O)n(N)c1=O;;5.9
15;Phenmedipham;InChI=1S/C16H16N2O4/c1-11-5-3-6-12(9-11)18-16(20)22-14-8-4-7-13(10-14)17-15(19)21-2/h3-10H,1-2H3,(H,17,19)(H,18,20);COC(O)=Nc1cccc(OC(O)=Nc2cccc(C)c2)c1;;9.5
16;Epoxiconazole;InChI=1S/C17H13ClFN3O/c18-15-4-2-1-3-14(15)16-17(23-16,9-22-11-20-10-21-22)12-5-7-13(19)8-6-12/h1-8,10-11,16H,9H2;Fc1ccc(C2(Cn3cncn3)OC2c2ccccc2Cl)cc1;;11.7
17;Prochloraz;InChI=1S/C15H16Cl3N3O2/c1-2-4-20(15(22)21-5-3-19-10-21)6-7-23-14-12(17)8-11(16)9-13(14)18/h3,5,8-10H,2,4,6-7H2,1H3;CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1;;12.2
18;Flusilazole;InChI=1S/C16H15F2N3Si/c1-22(12-21-11-19-10-20-21,15-6-2-13(17)3-7-15)16-8-4-14(18)5-9-16/h2-11H,12H2,1H3;C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1;;12.4
19;Alachlor ESA;InChI=1S/C14H21NO5S/c1-4-11-7-6-8-12(5-2)14(11)15(10-20-3)13(16)9-21(17,18)19/h6-8H,4-5,9-10H2,1-3H3,(H,17,18,19);CCc1cccc(CC)c1N(COC)C(=O)CS(=O)(=O)O;;7.7
20;Alachlor OXA;InChI=1S/C14H19NO4/c1-4-10-7-6-8-11(5-2)12(10)15(9-19-3)13(16)14(17)18/h6-8H,4-5,9H2,1-3H3,(H,17,18);CCc1cccc(CC)c1N(COC)C(=O)C(=O)O;;7.4
21;Acetochlor OXA;InChI=1S/C14H19NO4/c1-4-11-8-6-7-10(3)12(11)15(9-19-5-2)13(16)14(17)18/h6-8H,4-5,9H2,1-3H3,(H,17,18);CCOCN(C(=O)C(=O)O)c1c(C)cccc1CC;;7.5
